,encrypted_customerID,total_units,total_revenue,total_units_ttm,total_revenue_ttm,adj_units_yearly_ever,adj_revenue_yearlu_ever,adj_units_yearly_before_ttm,adj_revenue_yearly_before_ttm,which_promo,engagement,what_content_age,what_content_type,asp_ever,asp_ttm,arpu_monthly_ever,arpu_monthly_ttm,frequency_days_ever,frequency_days_ttm,hidden_class,tenure_months,target
505,A2OMXSTH8MPSIO,84,298.89,30,86.79,24,87.48,15,62.07,engaged_pmd,engaged,predominantly_NR,exclusively_movie_vod,3.55,2.89,7.29,7.23,14,12,benevolent,41.0,1
506,A3SYTTQ958PKBC,4,24.75,2,16.37,1,7.42,0,2.51,non_promo_user,moderate,predominantly_NR,predominantly_tv,6.18,8.18,0.61,1.36,312,99,inept,40.0,0
507,ATB1FZM1L5FX0,1,8.39,1,8.39,3,33.55,0,0.0,non_promo_user,one_time,exclusively_CAT,exclusively_movie_est,8.39,8.39,2.79,2.79,0,0,inept,3.0,1
508,AEDR8MJ3NHL24,1,2.51,0,0.0,0,0.97,0,0.97,non_promo_user,one_time,exclusively_CAT,exclusively_movie_vod,2.51,0.0,0.08,0.0,0,0,inept,31.0,0
509,A2KYGIX0SJDI1V,1,3.35,0,0.0,0,1.67,0,1.67,non_promo_user,one_time,exclusively_CAT,exclusively_movie_vod,3.35,0.0,0.13,0.0,0,0,inept,24.0,0
510,A23T4PFTS4TF9C,19,81.29,11,54.5,14,60.96,6,20.09,non_promo_user,moderate,exclusively_CAT,predominantly_movie_est,4.27,4.95,5.08,4.54,20,21,hidden_committed,16.0,1
511,A1PT3194K14NGZ,61,279.62,15,79.27,17,81.84,13,58.63,non_promo_user,engaged,exclusively_CAT,predominantly_tv,4.58,5.28,6.82,6.6,19,17,benevolent,41.0,1
512,A2DBGEOZNZ5MUZ,4,26.01,1,7.55,2,16.42,1,11.65,non_promo_user,one_time,exclusively_CAT,exclusively_movie_est,6.5,7.55,1.36,0.62,72,0,inept,19.0,0
513,AUH8GLQK7VF3X,27,115.7,10,77.64,12,53.4,7,17.56,engaged_pmd,moderate,predominantly_NR,predominantly_movie_vod,4.28,7.76,4.45,6.47,28,35,hidden_committed,26.0,1
514,AR36EWSCLMZU4,1,2.51,1,2.51,12,30.12,0,0.0,non_promo_user,one_time,exclusively_CAT,exclusively_movie_vod,2.51,2.51,2.51,2.51,0,0,inept,1.0,1
515,A2Y7BXTGA3ULWT,67,533.78,14,77.16,15,123.18,12,105.37,engaged_vendisto_promo,engaged,predominantly_NR,predominantly_movie_est,7.96,5.51,10.26,6.43,23,26,benevolent,52.0,1
516,A1R3D1AKD1ACZ2,1,2.09,0,0.0,0,0.35,0,0.35,non_promo_user,one_time,exclusively_CAT,exclusively_tv,2.09,0.0,0.02,0.0,0,0,inept,71.0,0
