,encrypted_customerID,total_units,total_revenue,total_units_ttm,total_revenue_ttm,adj_units_yearly_ever,adj_revenue_yearlu_ever,adj_units_yearly_before_ttm,adj_revenue_yearly_before_ttm,which_promo,engagement,what_content_age,what_content_type,asp_ever,asp_ttm,arpu_monthly_ever,arpu_monthly_ttm,frequency_days_ever,frequency_days_ttm,hidden_class,tenure_months,target
922,ANI0ZFTDDRBQC,16,99.05,3,24.55,3,24.76,3,18.62,non_promo_user,moderate,exclusively_CAT,predominantly_tv,6.19,8.18,2.06,2.04,82,20,benevolent,48.0,0
923,A12CE16FA4K47Q,19,68.17,10,44.08,8,30.29,3,10.7,engaged_pmd,engaged,predominantly_NR,predominantly_movie_vod,3.58,4.4,2.52,3.67,41,33,inept,27.0,1
924,A19FRZLH43F26W,19,91.09,7,27.86,5,27.32,3,18.96,non_promo_user,moderate,exclusively_CAT,predominantly_movie_est,4.79,3.98,2.27,2.32,58,31,benevolent,40.0,1
925,A2QW7CCNTOSZG1,49,214.09,9,31.58,12,54.66,10,46.59,engaged_pmd,engaged,predominantly_NR,predominantly_movie_vod,4.36,3.5,4.55,2.63,29,40,benevolent,47.0,1
926,A8Y23PC1WRDFB,3,14.97,1,8.32,2,13.81,1,6.13,non_promo_user,one_time,predominantly_NR,exclusively_movie_est,4.99,8.32,1.15,0.69,101,0,inept,13.0,0
927,A35QOC0Q5G8LEZ,2,28.32,0,0.0,0,5.76,0,5.76,non_promo_user,moderate,exclusively_CAT,exclusively_tv,14.16,0.0,0.48,0.0,176,0,inept,59.0,0
928,A2G6ZQ77GQ363A,8,27.44,6,22.87,1,6.09,0,1.01,non_promo_user,moderate,exclusively_CAT,predominantly_movie_vod,3.43,3.81,0.5,1.9,210,14,inept,54.0,1
929,A7G4I4HDIGYOI,111,477.48,36,178.58,35,150.78,23,94.38,non_promo_user,engaged,predominantly_CAT,predominantly_movie_est,4.3,4.96,12.56,14.88,10,9,hidden_committed,38.0,1
930,ADJMESA43PKFZ,78,318.91,5,27.88,13,54.66,12,49.89,non_promo_user,moderate,predominantly_NR,predominantly_movie_est,4.08,5.57,4.55,2.32,27,73,hidden_committed,70.0,1
931,A12QANRNMBMAI4,1,5.82,1,5.82,2,13.96,0,0.0,exclusively_vendisto_promo,one_time,exclusively_CAT,exclusively_movie_est,5.82,5.82,1.16,1.16,0,0,inept,5.0,1
932,A5LCH57E9ZB7K,3,6.22,2,3.31,2,5.74,0,2.68,non_promo_user,moderate,exclusively_CAT,exclusively_tv,2.07,1.65,0.47,0.27,135,0,inept,13.0,1
933,A23ET20LEM1NDL,1,4.16,0,0.0,0,1.99,0,1.99,non_promo_user,one_time,exclusively_CAT,exclusively_movie_est,4.16,0.0,0.16,0.0,0,0,inept,25.0,0
934,A2JHDL1CMPFYUV,3,9.56,0,0.0,0,2.2,0,2.2,engaged_pmd,moderate,exclusively_CAT,predominantly_movie_est,3.18,0.0,0.18,0.0,521,0,inept,52.0,0
935,A384VN74FLPTBQ,3,14.14,0,0.0,0,3.08,0,3.08,non_promo_user,moderate,predominantly_NR,exclusively_movie_est,4.71,0.0,0.25,0.0,0,0,inept,55.0,0
936,A1PQHTO98I42SG,2,4.99,0,0.0,0,1.06,0,1.06,non_promo_user,moderate,exclusively_CAT,predominantly_movie_vod,2.49,0.0,0.08,0.0,5,0,inept,56.0,0
